City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,scottsbluff,41.8666,-103.6672,26.13,22,20,3.58,US,1715644540
204,egilsstadir,65.2653,-14.3948,3.95,87,100,0.51,IS,1715644385
205,broken hill,-31.95,141.4333,16.19,51,97,4.12,AU,1715644518
206,basco,20.4487,121.9702,27.05,82,100,9.82,PH,1715644769
207,springhill,33.006,-93.4668,22.83,89,100,1.89,US,1715644770
208,serignan,43.2787,3.2771,18.07,81,0,5.66,FR,1715644770
209,kodiak,57.79,-152.4072,8.73,71,75,4.63,US,1715644538
210,hibbing,47.4272,-92.9377,16.9,31,0,3.6,US,1715644571
211,uturoa,-16.7333,-151.4333,27.58,76,40,8.49,PF,1715644545
212,bonthe,7.5264,-12.505,27.8,86,41,3.4,SL,1715644771
213,fada,9.5667,8.3,22.3,88,94,1.26,NG,1715644544
214,waiuku,-37.25,174.75,17.4,94,100,1.82,NZ,1715644771
215,zhengjiatun,43.5064,123.5064,17.1,59,100,5.67,CN,1715644772
216,durban,-29.8579,31.0292,19.51,86,76,1.98,ZA,1715644772
217,las tablas,7.7667,-80.2833,28.43,99,100,2.32,PA,1715644772
218,talnakh,69.4865,88.3972,-2.11,98,100,0.63,RU,1715644521
219,cefalu,38.0386,14.0229,20.3,79,92,2.1,IT,1715644773
220,anadyr,64.75,177.4833,4.28,65,0,5.0,RU,1715644218
221,lagunas,-5.2269,-75.6753,24.67,96,83,1.21,PE,1715644774
222,gevgelija,41.1392,22.5025,14.25,81,100,3.57,MK,1715644774
223,waingapu,-9.6567,120.2641,26.62,80,30,5.3,ID,1715644527
224,yenotayevka,47.2456,47.0281,9.58,55,19,5.36,RU,1715644774
225,castillos,-34.1667,-53.8333,6.99,77,38,2.81,UY,1715644550
226,luanda,-8.8368,13.2343,27.0,83,75,3.6,AO,1715644658
227,fale old settlement,-9.3852,-171.2468,29.52,75,69,6.69,TK,1715644535
228,sunland,38.8928,-101.8216,23.79,29,2,5.11,US,1715644775
229,birnin kudu,11.4459,9.4984,28.33,49,58,3.61,NG,1715644775
230,sur,22.5667,59.5289,30.56,47,1,3.79,OM,1715644357
231,puerto deseado,-47.7503,-65.8938,3.34,62,83,6.73,AR,1715644776
232,wanning,18.8003,110.3967,25.83,90,20,1.71,CN,1715644413
233,ahtari,62.554,24.0619,8.55,89,78,1.02,FI,1715644777
234,hadibu,12.65,54.0333,28.19,69,93,2.36,YE,1715644384
235,kisangani,0.5167,25.2,21.11,99,96,1.33,CD,1715644777
